#;;;;;;;;;;;;;
EVTDESC4407;전국적으로 대량 징병을 행함으로써 우리 무장병력이 한 깃발 아래 모였습니다. 군당국에 따르면 대량 징병은 군에 대한 전폭적인 지원이 없었더라면 불가능했을 거라 합니다. 이제 군에 대한 긍정적인 여론을 이용해서 국민들의 염전도를 줄이거나 병력을 늘일 수 있습니다.;;;;;;;;;;;;;
EVTOPTA4407;국민들은 지쳤어.;;;;;;;;;;;;;
EVTOPTB4407;국가는 배고파.;;;;;;;;;;;;;
EVTNAME4408;군비 삭감;;;;;;;;;;;;;
EVTDESC4408;'이건 제가 보기엔 희극입니다. 국민들은 힘든 멍에와 가난의 굴레에서 비위생적인 생활환경과 사기저하를 견디며 노동합니다. 의회는 수천파운드의 재정을 수백만의 총기와 대포에 쏟아붓습니다. 우리나라는 전쟁을 해야 합니다. 여러분, 우리 사회에 병을 퍼트리는 나쁜 것들에 대한 전쟁 말입니다.'\n\n한 장관이 의회에서 정부의 반전정책에 대해서 상세하게 연설했습니다. 이를 어떻게 이용해야 할까요?;;;;;;;;;;;;;
EVTOPTA4408;확실히 사람들이 문제점을 알아채겠지.;;;;;;;;;;;;;
EVTOPTB4408;평화가 세상에 퍼진다.;;;;;;;;;;;;;
EVTNAME4409;평화주의 의회;;;;;;;;;;;;;
EVTDESC4409;'분명한 문제가 있습니다. 현재만이 아니라 항상 문제였던 것 말입니다. 강대국들이 서로 얽히고설킨 전쟁의 틈바구니 속으로 계속 들어갈 것인가? 아니면 무장을 줄이고 열린 자세로 평화를 바라며, 평화를 위해 헌신하고, 평화를 위해 죽겠다고 선언할 것인가?'\n\n우리 정부의 평화주의 정책이 의회와 여론에게 폭넓은 지지를 얻었습니다. 이에 대한 지원책은 국민들의 불만을 줄이거나 평화주의 운동이 퍼지는 결과를 낳을 것입니다.;;;;;;;;;;;;;
EVTOPTA4409;평화주의 운동을 키워!;;;;;;;;;;;;;
EVTOPTB4409;불만을 줄여라.;;;;;;;;;;;;;
EVTNAME4410;신은 죽었다;;;;;;;;;;;;;
EVTDESC4410;'우리는 여기 용감한 신세계에 거의 당도했습니다. 우리 뒤엔 수천년의 어둠, 범죄적 무시와 미신들이 있었습니다. 우리 앞에는 새로운 미래와 악에게서 자유로운 미래가 있습니다. 여기 갈림길에서 선택해야 합니다. 여러분, 신은 죽었습니다! 신성한 창조자가 없으며 있을 수도 없다는 근대과학이 밝혀낸 진실들을 받아들여 앞으로 나아가시겠습니까? 아니면 공포의 악마, 천사와 원죄의 유령이 존재하는 한때 가장 사랑받았던 악몽을 계속 두고 보시겠습니까? 우리는 자유민입니다, 여러분. 우리 일을 합시다.'\n\n정부의 반종교정책이 당연히도 국내 종교계와 갈등을 빚었습니다.;;;;;;;;;;;;;
EVTOPTA4410;불량스러운 반동분자들!;;;;;;;;;;;;;
EVTOPTB4410;그들의 의견을 고려해보자.;;;;;;;;;;;;;
EVTNAME4411;세속적 다툼;;;;;;;;;;;;;
EVTDESC4411;'수년간 교회와 정부의 충돌이 점점 심화하는 덕분에 둘의 동거가 오래가지 않을 것임이 분명해졌습니다.'\n\n집권여당의 종교정책으로 막간극이 벌어졌습니다. 지역 종교계는 너그러운 정부의 특혜를 여럿 받았는데, 예를 들어 여러 종교단체 중 특정 단체만 시장가보다 훨씬 낮은 가격으로 건물을 빌렸습니다.;;;;;;;;;;;;;
EVTOPTA4411;그만둬야 한다.;;;;;;;;;;;;;
EVTOPTB4411;좀 너그러운 것 뿐인데.;;;;;;;;;;;;;
EVTNAME4412;다원주의적 평화;;;;;;;;;;;;;
EVTDESC4412;우리는 다릅니다. $COUNTRY$이라는 신성한 울타리 안에서 사는 우리 모두는 서로의 다양한 목소리로 노래를 부릅니다. 하지만 우리는 모두 하나, $COUNTRY$ 국민입니다.\n\n이러한 상황은 바람의 변화처럼 느껴집니다. 오래된 갈등이 잠재워지고 있고, 원수들이 팔짱을 끼고 있는 광경을 볼 수 있습니다. 환상처럼 들릴지 모르지만, 여당의 다원주의적 정책이 새로운 이해와 관용의 시대를 열었다고 말할 수 있습니다. 침착함은 기만적일지 모르지만, 그렇기에 침착한 것입니다.;;;;;;;;;;;;;
EVTOPTA4412;극복하겠다!;;;;;;;;;;;;;
EVTOPTB4412;우리 모두가 형제다!;;;;;;;;;;;;;
EVTNAME4413;도덕적 복고풍;;;;;;;;;;;;;
EVTDESC4413;'그리고 우리나라의 도덕적 끈은 퇴화했다. 그리고 현재는 우리 사회를 병들게 하는 사악한 이들이 국내에서 자기 마음대로 행동한다. 우리가 원하며 반드시 필요한 것은 도덕적인 성찰이다. 우리나라를 강성하게 만들었던 그런 옛 가치로 돌아가야 한다. '\n\n국내 한 지역에서 시작된 한 설교사의 조직이 $COUNTRY$의 도덕회복에 헌신했습니다. 이 조직이 현재 여당의 도덕주의 정책을 뒷받침해주는 것 뿐이라는 것은 의심할 여지가 없지만, 현재 여당은 이를 도덕회복의 우군으로써 이용할 수도 있습니다.;;;;;;;;;;;;;
EVTOPTA4413;언어를 퍼트려라!;;;;;;;;;;;;;
EVTOPTB4413;기쁘다!;;;;;;;;;;;;;
EVTNAME4414;보호무역주의자들의 규제 요구;;;;;;;;;;;;;
EVTDESC4414;'그러나 오늘날 양질이지만 비싼 국산품들은 저질이지만 싼 수입품과의 경쟁에서 밀립니다. 외국과의 경쟁에서 국산품의 피해를 방지하는 것이 현재의 최우선 과제다.'\n\n국내 한 지역이 수년 동안 계속해서 외국과 경쟁을 벌여왔습니다. 그 결과 현지의 보호주의자들은 규제를 요구하기 시작했습니다. 이들이 요구한 규제의 내용은 공업지역에 대한 보조금 지급과 수입품에 대한 견제입니다.;;;;;;;;;;;;;
EVTOPTA4414;규제를 시행하겠다.;;;;;;;;;;;;;
EVTOPTB4414;무역이든 공장이든 자유롭게.;;;;;;;;;;;;;
EVTNAME4415;자유무역과 무법사회;;;;;;;;;;;;;
EVTDESC4415;'그리고 근래 들어 구식 중상주의자들이 다시 고개를 들기 시작했으며, 사람들끼리 담을 쌓고 국경을 닫은채로 지내는 걸 보기 싫은 자들은 공공기관에서 이에 대해 계속 이야기합니다.'\n\n한 지역에서 자유무역 지지자들이 공공연하고 아주 강력히 자유무역을 요구합니다. 이 단체는 현 정부의 보호무역주의를 반대하며 모호무역주의와 관련된 법들을 폐지하라고 요구합니다. ;;;;;;;;;;;;;
EVTOPTA4415;정책은 일관적이어야 한다.;;;;;;;;;;;;;
EVTOPTB4415;이에 대해 고려해야 한다.;;;;;;;;;;;;;
EVTNAME4416;자유무역과 도덕;;;;;;;;;;;;;
EVTDESC4416;'그리고 또한, 더 나아가서 경제적 자유야말로 공공도덕에 부합한다. 자유무역 시행은 쓰레기와 같은 부도덕적이고 타락한 물품들이 국경 내로 밀어닥침을 의미한다. 이 더러운 홍수는 이미 국민들을 더럽히고 있다. 지금이라도 당장 멈춰야 한다.'\n\n한 지역에서 자유무역주의자와 도덕주의자들이 논쟁을 벌이고 있습니다. 도덕주의자들은 현재의 자유무역정책으로 인해 국내 상인과 교역가들이 너무 자유롭게 물품을 사고 파는 현실에 불만을 품습니다. 그들은 비도덕적인 물품들을 규제함으로써 공공도덕을 바로잡기를 요구합니다.;;;;;;;;;;;;;
EVTOPTA4416;자유무역주의자의 편을 들겠다.;;;;;;;;;;;;;
EVTOPTB4416;도덕주의자의 편을 들겠다.;;;;;;;;;;;;;
EVTNAME4417;도덕주의자의 전쟁 지원;;;;;;;;;;;;;
EVTDESC4417;'그리고 또한 국가의 갈등은 우리의 갈등이기도 하다. 이번 전쟁에는 국가의 존망 뿐 아니라 근본적인 도덕의 존망도 함께 걸려있다.'\n\n정부의 공공도덕에 대한 정책 덕분에, 많은 도덕주의자 모임이 전쟁에 도움을 주었습니다. 일부 단체는 $COUNTRY$의 갈등을 성전화하기도 합니다.;;;;;;;;;;;;;
EVTOPTA4417;용감한 병사들이어, 쉬어라!;;;;;;;;;;;;;
EVTOPTB4417;용감한 병사들이어, 나가 싸워라!;;;;;;;;;;;;;
EVTNAME4418;공공집회 금지?;;;;;;;;;;;;;
EVTDESC4418;'사회 내부에서 벌어진 여러 격렬한 행위를 보고 당분간 공공기관에서의 집회를 금지하는 것이 합당하다는 결론을 내렸다. 도시의 심장을 군중이 움직인다는 사실은 명백하다. 내 제안에 따른다면 도시를 다시 조용하게 만들수 있을 것이다.'\n\n상류사회 보수주의파들이 최근 만연한 $COUNTRY$의 사회적 무질서의 대응책으로 당분간 공공집회 금지를 하는 게 어떻겠냐는 의견을 타진해왔습니다. 이를 시행한다면 다른 여러 당들은 그 의견때문에 재기불능이 되지는 않을까 느낄 것입니다.;;;;;;;;;;;;;
EVTOPTA4418;폭정은 답이 아니다.;;;;;;;;;;;;;
EVTOPTB4418;좋은 제안이군.;;;;;;;;;;;;;
EVTNAME4419;빵 대기줄;;;;;;;;;;;;;
EVTDESC4419;'그저 빵 조금을 원할 뿐이다. 난 몇시간 동안이나 이곳에 서 있다. 저들이 빵을 가지고 있기는 할까?'\n\n빵을 원하는 자들의 대기줄이 길을 계속 가로막습니다. 정부는 비효율적인 관료제로 인해 한 지역의 음식 공급에 차질을 빚어왔습니다. 그 지역은 중앙정부가 뭔가를 해주기를 원합니다. 우리가 조치를 취해야 함은 분명합니다.;;;;;;;;;;;;;
EVTOPTA4419;아무 문제없다고 우겨라.;;;;;;;;;;;;;
EVTOPTB4419;관료들을 비판한다.;;;;;;;;;;;;;
EVTOPTC4419;군대를 파견해 가라앉혀라.;;;;;;;;;;;;;
EVTNAME4420;지도부 회의전쟁;;;;;;;;;;;;;
EVTDESC4420;'저는 최근에 태양과도 같던 우리가 힘을 잃어버렸다는 생각이 강합니다. $COUNTRY$은(는) 국제적으로 강력한 힘을 지녔지만, 최근 들어서는 다른 국가들이 종종 우리의 의견을 묵살하고는 합니다. 잃은 힘을 되찾으려면 국제적인 노력을 통해 다시 국제사회의 일원으로서 인정받아야 한다고 생각합니다. 몇몇은 저를 쓸데없는 모험가라고 보겠지만, 이 나라가 모험가와 팽창정책을 토대로 성장했음을 명심하십시오.'\n\n지도부가 현 국제상황에 대해 논의하기 위해 회의를 가졌고, 회의 분위기는 무거웠습니다. 관료들 중 군사주의자들은 국제사회에서의 현위치를 지역과 바꾸기 위해(전쟁으로 지역을 얻어서 바꾸기 위해) 토론을 나누었습니다.;;;;;;;;;;;;;
EVTNAME4422;평화를 위한 파업!;;;;;;;;;;;;;
EVTDESC4422;'그리고 우리는 전쟁광들과 자본가들이 잔인한 제국주의적 선전을 이용해 노동자들끼리 싸우게 하는 그런 불안을 인정하지 않겠습니다! 만국의 노동자들은 형제들이며, 공통적으로 언어를 사용할줄 압니다. 형제의 눈썹에 매달린 땀방울은 우리의 것이며, 형제의 심장에서 흘러나온 피는 우리 혈관에 흐릅니다. 자본가들이여, 동무들이여! 마음껏 돈을 만드시오! 우리 동무들은 이에 대해 피로 응답할 것입니다!'\n\n국내 한 지역에서 체제 전복을 꾀하는 단체가 파업을 주최했습니다. 이 파업은 결속력 있고 평화적으로 진행됐으나, 일부 관료는 이 파업이 사회주의자들이 몰래 사주해 그들 세력끼리 뭉친 것이라고 여깁니다.;;;;;;;;;;;;;
EVTOPTA4422;사회주의조합을 금지한다.;;;;;;;;;;;;;
EVTOPTB4422;파업을 무시한다.;;;;;;;;;;;;;
EVTOPTA4420;전쟁에 더 많은 지원이 필요하다.;;;;;;;;;;;;;
EVTOPTB4420;오늘밤, 지옥에서 밥을 먹는다.;;;;;;;;;;;;;
EVTNAME4421;자유주의자들의 항의;;;;;;;;;;;;;
EVTDESC4421;'선거운동 요원들이 괴롭힘을 받고, 당 본부가 문을 닫고, 공무원들이 도로 곳곳마다 업무를 방해하는 이런 상황에서도 우리가 아직도 표를 모으고 있다고 생각하니 놀라울 뿐입니다! 이렇게 대놓고 정치적 방해공작을 펼치는 것은 국가적인 양심에 얼룩을 남긴 부끄러운 일입니다. $COUNTRY$에서 민주주의 선거운동을 벌임에도 이런 일이 일어났다는 점은 모욕이며, 국가에 불명예를 주는 일입니다.'\n\n한 지역의 자유주의 정당이 국내 선거제도의 정치적 탄압에 거세게 항의했습니다. 정치인들은 이에 크게 분노했으며 대응책을 정하기 위해 의회를 소집했습니다.;;;;;;;;;;;;;
EVTOPTA4421;현재는 정치적 개혁이 정부의 과제까지는 아니다.;;;;;;;;;;;;;
EVTOPTB4421;약간의 제한적인 개혁은 찬성한다.;;;;;;;;;;;;;
EVTNAME4423;검열국 관료의 과로;;;;;;;;;;;;;
EVTDESC4423;검열국은 수년간 일이 산더미처럼 쌓였음을 알아챘고 국장은 부하들이 끊임없이 증가하는 업무량을 따라잡지 못한다고 여러 번 불평해왔습니다. 검열국의 과로 문제는 일부 각료를 향한 인신공격성 반정부선전을 표현한 기사가 발표되면서 도마에 올랐습니다. 이 신문이 어떻게 검열 절차를 통과했느냐는 질문에 검열국은 오래된 보고서를 여럿 지적하며 자료 부족 때문이라 해명했습니다. 그러나 일부 각료는 검열국이 할당받은 업무를 처리하기에는 충분한 자원을 가졌으며, 근본적인 문제는 그들에게 있다고 주장합니다.;;;;;;;;;;;;;
EVTOPTA4423;검열국을 비판한다.;;;;;;;;;;;;;
EVTOPTB4423;검열국의 예산을 늘린다.;;;;;;;;;;;;;
EVTNAME4424;자유시장 비판;;;;;;;;;;;;;
EVTDESC4424;'그리고 존경하는 공장장 나리가 돈을 쓸데없는 투자에 낭비하고 있다는 것이 현재 상황입니다! 의원들이여, 이게 바로 결과입니다! 10만, 100만까지는 아니길 빌며, 그 어마어마한 돈을 위험한 투자에 낭비하고 부동산에 투자했다지만 아무리 가까이서 조사를 해봐도 전혀 현실적인 가치 따위는 보이지를 않는군요. 저는 이에 대해 바로잡힌 정책을 만들고자 이번 회의를 소집했습니다.'\n\n한 상원의원이 사적인 투자에 대한 실패를 언급하며 정부의 경제정책을 비판했습니다.;;;;;;;;;;;;;
EVTOPTA4424;아직도 그러하다면, 규제를 시행한다.;;;;;;;;;;;;;
EVTOPTB4424;경제적 자유는 인간의 진보와 밀접한 관계가 있다.;;;;;;;;;;;;;
EVTNAME4425;신문의 신성모독!;;;;;;;;;;;;;
EVTDESC4425;'그들이 무슨 생각을 했는지 누군가는 관심을 가지고 봐야 합니다. 이따위 기사글이 $COUNTRY$에서 편집가능하다고요?'\n\n국내 한 신문에서 종교적인 모든 것을 아주 강력하게 비판하는 신성모독글을 개제했습니다. 이 글은 한 지식인이 썼습니다. 아마 신이 없는 세상에서 살고싶었나 봅니다. 어쨌거나 도덕주의자들은 이 기사를 파기하고 당장 사과할 것을 요구했습니다. 그러나 개혁파들은 그저 의견을 표현했을 뿐이라고 생각합니다. 현재 국내에서 신문기재는 자유입니다. 그러나 지금이 규제가 필요한 시점인지도 모릅니다.;;;;;;;;;;;;;
EVTOPTA4425;신문 따위에게 너무 많은 자유를 줬나.;;;;;;;;;;;;;
EVTOPTB4425;개제자는 법을 어기지 않았다. 정당한 활동을 했을 뿐이다.;;;;;;;;;;;;;
EVTNAME23200;나일강의 원류?;;;;;;;;;;;;;
EVTDESC23200;왕실지질학술원에서 나일강의 원류를 발견하는 자에게 보상을 수여하겠다고 발표했습니다.;;;;;;;;;;;;;
EVTOPTA23200;원정대를 파견해야 한다.;;;;;;;;;;;;;
EVTOPTB23200;이 제안을 고려해야 한다.;;;;;;;;;;;;;
EVTOPTC23200;멍청이들이 벌인 일에 속지 말자!;;;;;;;;;;;;;
EVTNAME23201;원정대의 빈손 귀환;;;;;;;;;;;;;
EVTDESC23201;나일강 원류를 찾으려는 노력이 실패로 끝났습니다. 하지만 다음 원정대는 성공할거라 생각합니다.;;;;;;;;;;;;;
EVTOPTA23201;다시 시도한다.;;;;;;;;;;;;;
EVTOPTB23201;이 말도 안되는 짓은 이제 그만두자.;;;;;;;;;;;;;
EVTNAME23202;원정대 실종;;;;;;;;;;;;;
EVTDESC23202;나일강 원류를 찾으려는 두번째 원정대가 실종됐습니다. 이것이 당연한 일일까요? 아니면 다시 원정을 시도해야 할까요?;;;;;;;;;;;;;
EVTNAME23203;나일강 원류 발견!;;;;;;;;;;;;;
EVTDESC23203;용감한 탐험가들이 나일강의 원류를 지도에 그렸습니다. 덕분에 우리나라가 국제적인 위신을 얻었습니다!;;;;;;;;;;;;;
EVTOPTA23203;국가와 과학의 영광스러운 날이다!;;;;;;;;;;;;;
EVTNAME23204;극점을 향한 도전;;;;;;;;;;;;;
EVTDESC23204;왕실지질학술원에서 북극점에 처음으로 도달하는 자에게 보상을 수여하겠다고 발표했습니다.;;;;;;;;;;;;;
EVTOPTC23204;저 얼어붙은 북쪽에서 뭐 얻을게 있나?;;;;;;;;;;;;;
EVTDESC23205;북극점 탐사를 위한 노력이 실패로 끝났습니다. 하지만 다음 원정대는 성공할거라 생각합니다.;;;;;;;;;;;;;
EVTDESC23206;북극점 탐사를 위한 두번째 원정대가 실종됐습니다. 이것이 당연한 일일까요? 아니면 다시 원정을 시도해야 할까요?;;;;;;;;;;;;;
EVTNAME23207;세계 최초 북극점 발견!;;;;;;;;;;;;;
EVTDESC23207;우리나라 소속 원정대가 세계 최초로 북극점에 국기를 꽂았습니다! 우리나라의 위상과 영광이 드높아졌습니다!;;;;;;;;;;;;;
EVTNAME23208;남극을 향해;;;;;;;;;;;;;
EVTDESC23208;왕실지질학술원에서 남극점을 처음으로 도달하는 자에게 보상을 수여하겠다고 발표했습니다.;;;;;;;;;;;;;
EVTOPTC23208;펭귄을 다시 발견할 이유가 없다.;;;;;;;;;;;;;
EVTDESC23209;남극점 탐사를 위한 원정대가 빈손으로 돌아왔습니다. 그러나 다시 원정대를 파견하면 성공할 수 있다는 희망이 있습니다.;;;;;;;;;;;;;
EVTDESC23210;두번째 남극점 탐사를 위한 원정대가 추적 불가능한 실종상태에 빠졌습니다. 세번째 원정대를 파견해야 할까요?;;;;;;;;;;;;;
EVTNAME23211;세계 최초 남극점 발견!;;;;;;;;;;;;;
EVTDESC23211;우리나라 소속 원정대가 세계 최초로 남극점에 국기를 꽂았습니다! 우리나라의 위상과 영광이 드높아졌습니다!;;;;;;;;;;;;;
EVTNAME23400;국제올림픽위원회 회원국;;;;;;;;;;;;;
EVTDESC23400;고대 그리스 문명에 대한 새로운 관심과 스포츠가 사회발전에 중요하다는 발상이 서로 만났습니다. 국제올림픽위원회를 수립한 프랑스 귀족 피에르 드 쿠베르탱 남작은 국가들 간의 우호적인 경쟁을 통해 국제평화를 증진하자는 목적으로 올림픽의 부활을 제안했습니다. 우리나라도 이 기구에 가입해야 할까요?;;;;;;;;;;;;;
EVTOPTA23400;좋은 생각이다!;;;;;;;;;;;;;
EVTOPTB23400;좋은 생각이지만 아직은 때가 아니다.;;;;;;;;;;;;;
EVTNAME23401;제1회 올림픽 주최국;;;;;;;;;;;;;
EVTDESC23401;올림픽이라는 개념은 성스러운 우리 땅에서 기원했습니다. 국제올림픽위원회도 제1회 올림픽을 주최를 제안해왔습니다. 이 제의에 어떻게 답해야 할까요?;;;;;;;;;;;;;
EVTOPTA23401;수락한다. 우리나라의 발전을 보여줄 좋은 기회다.;;;;;;;;;;;;;
EVTOPTB23401;거부한다. 우리나라의 자원을 좀 더 유용하게 써야 한다.;;;;;;;;;;;;;
EVTDESC23402;올림픽은 그리스에서 기원했음에도, 국제올림픽위원회가 우리에게 제1회 올림픽 주최를 제안해왔습니다. 이 제의에 어떻게 답해야 할까요?;;;;;;;;;;;;;
EVTNAME23403;제1회 올림픽 참가 여부;;;;;;;;;;;;;
EVTDESC23403;주최국을 결정한 국제올림픽위원회가 회원국들을 올림픽에 초청했습니다. 참가해야 할까요?;;;;;;;;;;;;;
EVTOPTA23403;참가한다.;;;;;;;;;;;;;
EVTOPTB23403;불행하게도 당장은 참가할 수 없다.;;;;;;;;;;;;;
EVTNAME23404;제1회 올림픽;;;;;;;;;;;;;
EVTDESC23404;만국의 운동선수들이 올림픽 참가를 위해 우리 수도에 모였습니다. 세계적으로 매우 자랑스러운 순간입니다.;;;;;;;;;;;;;
EVTOPTA23404;제1회 올림픽 개최를 선언한다.;;;;;;;;;;;;;
EVTNAME23405;우리 선수단의 승리;;;;;;;;;;;;;
EVTDESC23405;우리 선수단이 최근의 올림픽게임에서 승리해 금, 은, 동메달을 갖고 귀환했습니다!;;;;;;;;;;;;;
EVTOPTA23405;우리 청년들에게 영광을!;;;;;;;;;;;;;
EVTNAME23406;제2회 올림픽 주최국;;;;;;;;;;;;;
EVTDESC23406;국제올림픽위원회가 제2회 올림픽 주최를 제안해왔습니다. 이 제의에 어떻게 답해야 할까요?;;;;;;;;;;;;;
EVTNAME23407;제2회 올림픽 참가 여부;;;;;;;;;;;;;
EVTNAME23408;제2회 올림픽;;;;;;;;;;;;;
EVTOPTA23408;제2회 올림픽 개최를 선언한다.;;;;;;;;;;;;;
EVTNAME23410;제3회 올림픽 주최국;;;;;;;;;;;;;
EVTNAME23411;제3회 올림픽 참가 여부;;;;;;;;;;;;;
EVTNAME23412;제3회 올림픽;;;;;;;;;;;;;
EVTOPTA23412;제3회 올림픽 개최를 선언한다.;;;;;;;;;;;;;
EVTNAME23413;제3회 올림픽;;;;;;;;;;;;;
EVTOPTA23413;제4회 올림픽 개최를 선언한다.;;;;;;;;;;;;;
EVTNAME23414;제4회 올림픽 주최국;;;;;;;;;;;;;
EVTNAME23415;제4회 올림픽 참가 여부;;;;;;;;;;;;;
EVTNAME23416;제4회 올림픽;;;;;;;;;;;;;
EVTOPTA23416;제4회 올림픽 개최를 선언한다.;;;;;;;;;;;;;
EVTNAME23418;제5회 올림픽 주최국;;;;;;;;;;;;;
EVTNAME23419;제5회 올림픽 참가 여부;;;;;;;;;;;;;
EVTNAME23420;제5회 올림픽;;;;;;;;;;;;;
EVTOPTA23420;제5회 올림픽 개최를 선언한다.;;;;;;;;;;;;;
EVTNAME23421;제5회 올림픽;;;;;;;;;;;;;
EVTOPTA23421;제5회 올림픽 개최를 선언한다.;;;;;;;;;;;;;
EVTNAME23422;제6회 올림픽 주최국;;;;;;;;;;;;;
EVTNAME23423;제6회 올림픽 참가 여부;;;;;;;;;;;;;
EVTNAME23424;제6회 올림픽;;;;;;;;;;;;;
EVTOPTA23424;제6회 올림픽 개최를 선언한다.;;;;;;;;;;;;;
EVTNAME23426;제7회 올림픽 주최국;;;;;;;;;;;;;
EVTNAME23427;제7회 올림픽 참가 여부;;;;;;;;;;;;;
EVTNAME23428;제7회 올림픽;;;;;;;;;;;;;
EVTOPTA23428;제7회 올림픽 개최를 선언한다.;;;;;;;;;;;;;
EVTNAME23430;제8회 올림픽 주최국;;;;;;;;;;;;;
EVTNAME23431;제8회 올림픽 참가 여부;;;;;;;;;;;;;
EVTNAME23432;제8회 올림픽;;;;;;;;;;;;;
EVTOPTA23432;제8회 올림픽 개최를 선언한다.;;;;;;;;;;;;;
EVTNAME23434;제9회 올림픽 주최국;;;;;;;;;;;;;
EVTNAME23435;제9회 올림픽 참가 여부;;;;;;;;;;;;;
EVTNAME23436;제9회 올림픽;;;;;;;;;;;;;
EVTOPTA23436;제9회 올림픽 개최를 선언한다.;;;;;;;;;;;;;
EVTNAME23438;제10회 올림픽 주최국;;;;;;;;;;;;;
EVTNAME23439;제10회 올림픽 참가 여부;;;;;;;;;;;;;
EVTNAME23440;제10회 올림픽;;;;;;;;;;;;;
EVTOPTA23440;제10회 올림픽 개최를 선언한다.;;;;;;;;;;;;;
EVTNAME23450;알프레드 노벨의 인간을 위한 유산;;;;;;;;;;;;;
EVTDESC23450;스웨덴의 발명가이자 사업가인 알프레드 노벨이 사망 전 마지막 의지로 물리학, 화학, 심리학, 약학 등의 발전에 크게 기여한 과학자들과 세계평화를 위해 노력하는 작가 및 활동가에게 상을 수여하는 재단을 설립하고 그 재단에 전 재산을 기부했습니다.;;;;;;;;;;;;;
EVTOPTA23450;위대한 스웨덴인의 위대한 손짓이군.;;;;;;;;;;;;;
EVTNAME23451;노벨물리학상;;;;;;;;;;;;;
EVTDESC23451;국내에서 저명한 한 물리학자가 올해 노벨물리학상을 수상했습니다.;;;;;;;;;;;;;
EVTOPTA23451;우리 물리학자들에게 거대한 영예로군.;;;;;;;;;;;;;
EVTNAME23491;노벨화학상;;;;;;;;;;;;;
EVTDESC23491;국내에서 저명한 한 화학자가 올해 노벨화학상을 수상했습니다.;;;;;;;;;;;;;
EVTOPTA23491;우리 화학자들에게 거대한 영예로군.;;;;;;;;;;;;;
EVTNAME23531;노벨약학심리학상;;;;;;;;;;;;;
EVTDESC23531;국내에서 저명한 한 과학자가 노벨약학심리학상을 수상했습니다.;;;;;;;;;;;;;
EVTOPTA23531;우리 과학자들에게 거대한 영예로군.;;;;;;;;;;;;;
EVTNAME23571;노벨문학상;;;;;;;;;;;;;
EVTDESC23571;국내에서 저명한 한 작가가 올해 노벨문학상을 수상했습니다.;;;;;;;;;;;;;
EVTOPTA23571;우리 작가들에게 거대한 영예로군.;;;;;;;;;;;;;
EVTNAME23611;노벨평화상;;;;;;;;;;;;;
EVTDESC23611;세계평화를 위해 활동하는 우리 국민이 노벨평화상을 수상했습니다.;;;;;;;;;;;;;
EVTOPTA23611;우리와 세계의 평화를 위해 활동하는 자들에게 거대한 영예로군.;;;;;;;;;;;;;
EVTNAME30000;만국박람회 주최 여부;;;;;;;;;;;;;
EVTDESC30000;국내 상업과 제조업을 주도하는 자들의 대표단이 우리 수도에서의 만국박람회의 주최를 제안해왔습니다. 우리의 경제적 능력을 보여주고 우리 제품을 만국에 알려 수출을 늘릴 기회입니다. 이 제안에 어떻게 답해야 할까요?;;;;;;;;;;;;;
EVTOPTA30000;좋은 생각이다! 찬성.;;;;;;;;;;;;;
EVTOPTB30000;좀 더 좋은 곳에 자원을 써야 한다.;;;;;;;;;;;;;
EVTNAME30001;만국박람회 주최;;;;;;;;;;;;;
EVTDESC30001;세계인들이 우리 수도를 방문해 이번 만국박람회를 축하했습니다. 이로서 우리의 경제적/문화적 우월성을 적극적으로 과시할 수 있었습니다.;;;;;;;;;;;;;
EVTOPTA30001;환상적인 즐길거리군!;;;;;;;;;;;;;
EVTNAME30002;지역무역박람회 주최 여부;;;;;;;;;;;;;
EVTDESC30002;국내 상업과 제조업을 주도하는 자들의 대표단이 우리 수도에서의 만국박람회의 주최를 제안해왔습니다. 우리의 경제적 능력을 보여주고 우리 제품을 만국에 알려 수출을 늘릴 기회입니다. 인접국과의 관계개선도 기대할 수 있습니다. 이 제안에 어떻게 답해야 할까요?;;;;;;;;;;;;;
EVTNAME30003;무역박람회 주최;;;;;;;;;;;;;
EVTDESC30003;인접국 국민들이 우리 수도를 방문해 이번 만국박람회를 축하했습니다. 이로서 우리의 경제적/문화적 우월성을 적극적으로 과시할 수 있었습니다.;;;;;;;;;;;;;
EVTOPTA30003;환상적인 즐길거리군!;;;;;;;;;;;;;
EVTNAME30004;식민지박람회 주최 여부;;;;;;;;;;;;;
EVTDESC30004;국내 상업과 제조업을 주도하는 자들의 대표단이 우리 수도에서의 만국박람회의 주최를 제안해왔습니다. 우리의 경제적 능력을 보여주고 우리 제품을 만국에 알려 수출을 늘릴 기회입니다. 이 제안에 어떻게 답해야 할까요?;;;;;;;;;;;;;
EVTNAME30005;식민지박람회 주최;;;;;;;;;;;;;
EVTDESC30005;신민들과 세계인들이 우리 수도를 방문해 이번 만국박람회를 축하했습니다. 이로서 우리의 경제적/문화적 우월성을 적극적으로 과시할 수 있었습니다.;;;;;;;;;;;;;
EVTOPTA30005;우리 식민제국의 거대한 힘과 부를 자랑하겠군!;;;;;;;;;;;;;
REMOVE_EVTNAME10000;국가의 봄;;;;;;;;;;;;;
